,,,,,,,,,,
Bhangra,,,,ACT I,,ACT I,,,,Outside Org
ASA,,,1,Bhangra,,,,,,Hip-Hop (DS)
SPIRIT,,,2,ASA,,,,TECH,,Contemporary (DS)
Mindy Solo,,,3,SPIRIT,,,,Mon,,Solo / Group (DS)
Eric and Job,,,4,Mindy Solo,,,8:00:00,,,
Jaimee,,,5,Eric and Job,,,8:15:00,,,
Lina and Sabrina,,,6,Jaimee,,,8:30:00,,,
Sam,,,7,Lina and Sabrina,,,8:45:00,,,
Emily,,,8,Sam,,,9:00:00,,,
Michelle,,,9,Emily,,,9:15:00,,,
Carlos,,,10,Michelle,,,9:30:00,,,
So-Hee,,,11,Carlos,,,9:45:00,,,
Madeleine,,,12,So-Hee,,,10:00:00,,,
Katie,,,13,Madeleine,,ACT II,10:15:00,,,
DS Grandparents,,,14,Katie,,,10:30:00,,,
JJJ,,,15,DS Grandparents,,,10:45:00,,,
Soulfra,,,16,JJJ,,,,,,
Karon Solo,,,,ACT II,,,,,,
Ballroom,,,1,Soulfra,,,,,,
Sam Solo,,,2,Karon Solo,,,,,,
David,,,3,Ballroom,,,,TUES,,
Terence,,,4,Sam Solo,,,,,,
Karon,,,5,David,,,8:15:00,,,
Lisa,,,6,Terence,,,8:30:00,,,
Karin,,,7,Karon,,,8:45:00,,,
Amy,,,8,Lisa,,,9:00:00,,,
Mindy and Karin,,,9,Karin,,,9:15:00,,,
James,,,10,Amy,,,9:30:00,,,
Kaalen and Kelsey,,,11,Mindy and Karin,,,9:45:00,,,
Jackie,,,12,James,,,10:00:00,,,
Tartan Swing,,,13,Kaalen and Kelsey,,,10:15:00,,,
Firecracker,,,14,Jackie,,,10:30:00,,,
,,,15,Tartan Swing,,,10:45:00,,,
,,,16,Firecracker,,,11:00:00,,,
,,,,,,,11:15:00,,,